test_ID,case,num_intr,leaf_num,leaf_type,minutes,aphid_count
1,clear_clear,5,1,Clear,30,0
1,clear_pred,6,1,Clear,30,0
1,pred_pred,5,1,Pred,30,1
2,clear_clear,5,1,Clear,30,0
2,clear_pred,5,1,Clear,30,0
2,pred_pred,5,1,Pred,30,0
3,clear_clear,5,1,Clear,30,0
3,clear_pred,5,1,Clear,30,0
3,pred_pred,5,1,Pred,30,0
4,clear_clear,5,1,Clear,30,0
4,clear_pred,6,1,Clear,30,0
4,pred_pred,4,1,Pred,30,0
5,clear_clear,5,1,Clear,30,0
5,clear_pred,4,1,Clear,30,1
5,pred_pred,5,1,Pred,30,0
6,clear_clear,7,1,Clear,30,1
6,clear_pred,5,1,Clear,30,0
6,pred_pred,6,1,Pred,30,1
7,clear_clear,8,1,Clear,30,0
7,clear_pred,9,1,Clear,30,0
7,pred_pred,8,1,Pred,30,0
8,clear_clear,10,1,Clear,30,0
8,clear_pred,5,1,Clear,30,0
8,pred_pred,6,1,Pred,30,0
1,clear_clear,5,2,Clear,30,0
1,clear_pred,6,2,Pred,30,0
1,pred_pred,5,2,Pred,30,2
2,clear_clear,5,2,Clear,30,0
2,clear_pred,5,2,Pred,30,0
2,pred_pred,5,2,Pred,30,0
3,clear_clear,5,2,Clear,30,0
3,clear_pred,5,2,Pred,30,0
3,pred_pred,5,2,Pred,30,1
4,clear_clear,5,2,Clear,30,0
4,clear_pred,6,2,Pred,30,0
4,pred_pred,4,2,Pred,30,0
5,clear_clear,5,2,Clear,30,0
5,clear_pred,4,2,Pred,30,0
5,pred_pred,5,2,Pred,30,0
6,clear_clear,7,2,Clear,30,0
6,clear_pred,5,2,Pred,30,1
6,pred_pred,6,2,Pred,30,0
7,clear_clear,8,2,Clear,30,4
7,clear_pred,9,2,Pred,30,1
7,pred_pred,8,2,Pred,30,0
8,clear_clear,10,2,Clear,30,2
8,clear_pred,5,2,Pred,30,0
8,pred_pred,6,2,Pred,30,0
1,clear_clear,5,1,Clear,90,0
1,clear_pred,6,1,Clear,90,2
1,pred_pred,5,1,Pred,90,2
2,clear_clear,5,1,Clear,90,0
2,clear_pred,5,1,Clear,90,1
2,pred_pred,5,1,Pred,90,0
3,clear_clear,5,1,Clear,90,0
3,clear_pred,5,1,Clear,90,0
3,pred_pred,5,1,Pred,90,0
4,clear_clear,5,1,Clear,90,1
4,clear_pred,6,1,Clear,90,0
4,pred_pred,4,1,Pred,90,0
5,clear_clear,5,1,Clear,90,1
5,clear_pred,4,1,Clear,90,0
5,pred_pred,5,1,Pred,90,0
6,clear_clear,7,1,Clear,90,1
6,clear_pred,5,1,Clear,90,1
6,pred_pred,6,1,Pred,90,1
7,clear_clear,8,1,Clear,90,0
7,clear_pred,9,1,Clear,90,1
7,pred_pred,8,1,Pred,90,0
8,clear_clear,10,1,Clear,90,0
8,clear_pred,5,1,Clear,90,0
8,pred_pred,6,1,Pred,90,0
1,clear_clear,5,2,Clear,90,0
1,clear_pred,6,2,Pred,90,0
1,pred_pred,5,2,Pred,90,2
2,clear_clear,5,2,Clear,90,0
2,clear_pred,5,2,Pred,90,0
2,pred_pred,5,2,Pred,90,1
3,clear_clear,5,2,Clear,90,0
3,clear_pred,5,2,Pred,90,0
3,pred_pred,5,2,Pred,90,3
4,clear_clear,5,2,Clear,90,0
4,clear_pred,6,2,Pred,90,2
4,pred_pred,4,2,Pred,90,0
5,clear_clear,5,2,Clear,90,0
5,clear_pred,4,2,Pred,90,1
5,pred_pred,5,2,Pred,90,0
6,clear_clear,7,2,Clear,90,2
6,clear_pred,5,2,Pred,90,1
6,pred_pred,6,2,Pred,90,1
7,clear_clear,8,2,Clear,90,4
7,clear_pred,9,2,Pred,90,0
7,pred_pred,8,2,Pred,90,0
8,clear_clear,10,2,Clear,90,5
8,clear_pred,5,2,Pred,90,0
8,pred_pred,6,2,Pred,90,0
1,clear_clear,5,1,Clear,150,0
1,clear_pred,6,1,Clear,150,1
1,pred_pred,5,1,Pred,150,1
2,clear_clear,5,1,Clear,150,1
2,clear_pred,5,1,Clear,150,0
2,pred_pred,5,1,Pred,150,1
3,clear_clear,5,1,Clear,150,0
3,clear_pred,5,1,Clear,150,0
3,pred_pred,5,1,Pred,150,0
4,clear_clear,5,1,Clear,150,0
4,clear_pred,6,1,Clear,150,2
4,pred_pred,4,1,Pred,150,0
5,clear_clear,5,1,Clear,150,3
5,clear_pred,4,1,Clear,150,1
5,pred_pred,5,1,Pred,150,1
6,clear_clear,7,1,Clear,150,0
6,clear_pred,5,1,Clear,150,1
6,pred_pred,6,1,Pred,150,0
7,clear_clear,8,1,Clear,150,0
7,clear_pred,9,1,Clear,150,4
7,pred_pred,8,1,Pred,150,0
8,clear_clear,10,1,Clear,150,0
8,clear_pred,5,1,Clear,150,1
8,pred_pred,6,1,Pred,150,0
1,clear_clear,5,2,Clear,150,0
1,clear_pred,6,2,Pred,150,0
1,pred_pred,5,2,Pred,150,1
2,clear_clear,5,2,Clear,150,0
2,clear_pred,5,2,Pred,150,1
2,pred_pred,5,2,Pred,150,0
3,clear_clear,5,2,Clear,150,0
3,clear_pred,5,2,Pred,150,1
3,pred_pred,5,2,Pred,150,1
4,clear_clear,5,2,Clear,150,0
4,clear_pred,6,2,Pred,150,0
4,pred_pred,4,2,Pred,150,0
5,clear_clear,5,2,Clear,150,0
5,clear_pred,4,2,Pred,150,0
5,pred_pred,5,2,Pred,150,0
6,clear_clear,7,2,Clear,150,2
6,clear_pred,5,2,Pred,150,0
6,pred_pred,6,2,Pred,150,3
7,clear_clear,8,2,Clear,150,6
7,clear_pred,9,2,Pred,150,0
7,pred_pred,8,2,Pred,150,1
8,clear_clear,10,2,Clear,150,5
8,clear_pred,5,2,Pred,150,0
8,pred_pred,6,2,Pred,150,1
1,clear_clear,5,1,Clear,360,0
1,clear_pred,6,1,Clear,360,0
1,pred_pred,5,1,Pred,360,2
2,clear_clear,5,1,Clear,360,1
2,clear_pred,5,1,Clear,360,0
2,pred_pred,5,1,Pred,360,1
3,clear_clear,5,1,Clear,360,0
3,clear_pred,5,1,Clear,360,0
3,pred_pred,5,1,Pred,360,0
4,clear_clear,5,1,Clear,360,4
4,clear_pred,6,1,Clear,360,1
4,pred_pred,4,1,Pred,360,0
5,clear_clear,5,1,Clear,360,2
5,clear_pred,4,1,Clear,360,1
5,pred_pred,5,1,Pred,360,1
6,clear_clear,7,1,Clear,360,0
6,clear_pred,5,1,Clear,360,3
6,pred_pred,6,1,Pred,360,0
7,clear_clear,8,1,Clear,360,0
7,clear_pred,9,1,Clear,360,5
7,pred_pred,8,1,Pred,360,0
8,clear_clear,10,1,Clear,360,0
8,clear_pred,5,1,Clear,360,2
8,pred_pred,6,1,Pred,360,1
1,clear_clear,5,2,Clear,360,0
1,clear_pred,6,2,Pred,360,1
1,pred_pred,5,2,Pred,360,1
2,clear_clear,5,2,Clear,360,0
2,clear_pred,5,2,Pred,360,0
2,pred_pred,5,2,Pred,360,0
3,clear_clear,5,2,Clear,360,0
3,clear_pred,5,2,Pred,360,5
3,pred_pred,5,2,Pred,360,1
4,clear_clear,5,2,Clear,360,0
4,clear_pred,6,2,Pred,360,0
4,pred_pred,4,2,Pred,360,0
5,clear_clear,5,2,Clear,360,0
5,clear_pred,4,2,Pred,360,1
5,pred_pred,5,2,Pred,360,0
6,clear_clear,7,2,Clear,360,5
6,clear_pred,5,2,Pred,360,0
6,pred_pred,6,2,Pred,360,5
7,clear_clear,8,2,Clear,360,6
7,clear_pred,9,2,Pred,360,0
7,pred_pred,8,2,Pred,360,0
8,clear_clear,10,2,Clear,360,8
8,clear_pred,5,2,Pred,360,0
8,pred_pred,6,2,Pred,360,1
1,clear_clear,5,3,No Leaf,30,5
1,clear_pred,6,3,No Leaf,30,6
1,pred_pred,5,3,No Leaf,30,2
2,clear_clear,5,3,No Leaf,30,5
2,clear_pred,5,3,No Leaf,30,5
2,pred_pred,5,3,No Leaf,30,5
3,clear_clear,5,3,No Leaf,30,5
3,clear_pred,5,3,No Leaf,30,5
3,pred_pred,5,3,No Leaf,30,4
4,clear_clear,5,3,No Leaf,30,5
4,clear_pred,6,3,No Leaf,30,6
4,pred_pred,4,3,No Leaf,30,4
5,clear_clear,5,3,No Leaf,30,5
5,clear_pred,4,3,No Leaf,30,3
5,pred_pred,5,3,No Leaf,30,5
6,clear_clear,7,3,No Leaf,30,6
6,clear_pred,5,3,No Leaf,30,4
6,pred_pred,6,3,No Leaf,30,5
7,clear_clear,8,3,No Leaf,30,4
7,clear_pred,9,3,No Leaf,30,8
7,pred_pred,8,3,No Leaf,30,8
8,clear_clear,10,3,No Leaf,30,8
8,clear_pred,5,3,No Leaf,30,5
8,pred_pred,6,3,No Leaf,30,6
1,clear_clear,5,3,No Leaf,90,5
1,clear_pred,6,3,No Leaf,90,4
1,pred_pred,5,3,No Leaf,90,1
2,clear_clear,5,3,No Leaf,90,5
2,clear_pred,5,3,No Leaf,90,4
2,pred_pred,5,3,No Leaf,90,4
3,clear_clear,5,3,No Leaf,90,5
3,clear_pred,5,3,No Leaf,90,5
3,pred_pred,5,3,No Leaf,90,2
4,clear_clear,5,3,No Leaf,90,4
4,clear_pred,6,3,No Leaf,90,4
4,pred_pred,4,3,No Leaf,90,4
5,clear_clear,5,3,No Leaf,90,4
5,clear_pred,4,3,No Leaf,90,3
5,pred_pred,5,3,No Leaf,90,5
6,clear_clear,7,3,No Leaf,90,4
6,clear_pred,5,3,No Leaf,90,3
6,pred_pred,6,3,No Leaf,90,4
7,clear_clear,8,3,No Leaf,90,4
7,clear_pred,9,3,No Leaf,90,8
7,pred_pred,8,3,No Leaf,90,8
8,clear_clear,10,3,No Leaf,90,5
8,clear_pred,5,3,No Leaf,90,5
8,pred_pred,6,3,No Leaf,90,6
1,clear_clear,5,3,No Leaf,150,5
1,clear_pred,6,3,No Leaf,150,5
1,pred_pred,5,3,No Leaf,150,3
2,clear_clear,5,3,No Leaf,150,4
2,clear_pred,5,3,No Leaf,150,4
2,pred_pred,5,3,No Leaf,150,4
3,clear_clear,5,3,No Leaf,150,5
3,clear_pred,5,3,No Leaf,150,4
3,pred_pred,5,3,No Leaf,150,4
4,clear_clear,5,3,No Leaf,150,5
4,clear_pred,6,3,No Leaf,150,4
4,pred_pred,4,3,No Leaf,150,4
5,clear_clear,5,3,No Leaf,150,2
5,clear_pred,4,3,No Leaf,150,3
5,pred_pred,5,3,No Leaf,150,4
6,clear_clear,7,3,No Leaf,150,5
6,clear_pred,5,3,No Leaf,150,4
6,pred_pred,6,3,No Leaf,150,3
7,clear_clear,8,3,No Leaf,150,2
7,clear_pred,9,3,No Leaf,150,5
7,pred_pred,8,3,No Leaf,150,7
8,clear_clear,10,3,No Leaf,150,5
8,clear_pred,5,3,No Leaf,150,4
8,pred_pred,6,3,No Leaf,150,5
1,clear_clear,5,3,No Leaf,360,5
1,clear_pred,6,3,No Leaf,360,5
1,pred_pred,5,3,No Leaf,360,2
2,clear_clear,5,3,No Leaf,360,4
2,clear_pred,5,3,No Leaf,360,5
2,pred_pred,5,3,No Leaf,360,4
3,clear_clear,5,3,No Leaf,360,5
3,clear_pred,5,3,No Leaf,360,0
3,pred_pred,5,3,No Leaf,360,4
4,clear_clear,5,3,No Leaf,360,1
4,clear_pred,6,3,No Leaf,360,5
4,pred_pred,4,3,No Leaf,360,4
5,clear_clear,5,3,No Leaf,360,3
5,clear_pred,4,3,No Leaf,360,2
5,pred_pred,5,3,No Leaf,360,4
6,clear_clear,7,3,No Leaf,360,2
6,clear_pred,5,3,No Leaf,360,2
6,pred_pred,6,3,No Leaf,360,1
7,clear_clear,8,3,No Leaf,360,2
7,clear_pred,9,3,No Leaf,360,4
7,pred_pred,8,3,No Leaf,360,8
8,clear_clear,10,3,No Leaf,360,2
8,clear_pred,5,3,No Leaf,360,3
8,pred_pred,6,3,No Leaf,360,4
1,clear_clear,5,1,Clear,720,0
1,clear_pred,6,1,Clear,720,1
1,pred_pred,5,1,Pred,720,1
2,clear_clear,5,1,Clear,720,0
2,clear_pred,5,1,Clear,720,0
2,pred_pred,5,1,Pred,720,0
3,clear_clear,5,1,Clear,720,0
3,clear_pred,5,1,Clear,720,1
3,pred_pred,5,1,Pred,720,1
4,clear_clear,5,1,Clear,720,0
4,clear_pred,6,1,Clear,720,2
4,pred_pred,4,1,Pred,720,0
5,clear_clear,5,1,Clear,720,0
5,clear_pred,4,1,Clear,720,0
5,pred_pred,5,1,Pred,720,0
6,clear_clear,7,1,Clear,720,1
6,clear_pred,5,1,Clear,720,0
6,pred_pred,6,1,Pred,720,0
7,clear_clear,8,1,Clear,720,1
7,clear_pred,9,1,Clear,720,4
7,pred_pred,8,1,Pred,720,0
8,clear_clear,10,1,Clear,720,0
8,clear_pred,5,1,Clear,720,2
8,pred_pred,6,1,Pred,720,1
1,clear_clear,5,2,Clear,720,1
1,clear_pred,6,2,Pred,720,1
1,pred_pred,5,2,Pred,720,2
2,clear_clear,5,2,Clear,720,0
2,clear_pred,5,2,Pred,720,0
2,pred_pred,5,2,Pred,720,0
3,clear_clear,5,2,Clear,720,0
3,clear_pred,5,2,Pred,720,4
3,pred_pred,5,2,Pred,720,0
4,clear_clear,5,2,Clear,720,0
4,clear_pred,6,2,Pred,720,0
4,pred_pred,4,2,Pred,720,0
5,clear_clear,5,2,Clear,720,0
5,clear_pred,4,2,Pred,720,0
5,pred_pred,5,2,Pred,720,1
6,clear_clear,7,2,Clear,720,1
6,clear_pred,5,2,Pred,720,0
6,pred_pred,6,2,Pred,720,0
7,clear_clear,8,2,Clear,720,2
7,clear_pred,9,2,Pred,720,0
7,pred_pred,8,2,Pred,720,0
8,clear_clear,10,2,Clear,720,4
8,clear_pred,5,2,Pred,720,0
8,pred_pred,6,2,Pred,720,0
1,clear_clear,5,3,No Leaf,720,4
1,clear_pred,6,3,No Leaf,720,4
1,pred_pred,5,3,No Leaf,720,2
2,clear_clear,5,3,No Leaf,720,5
2,clear_pred,5,3,No Leaf,720,5
2,pred_pred,5,3,No Leaf,720,5
3,clear_clear,5,3,No Leaf,720,5
3,clear_pred,5,3,No Leaf,720,0
3,pred_pred,5,3,No Leaf,720,4
4,clear_clear,5,3,No Leaf,720,5
4,clear_pred,6,3,No Leaf,720,4
4,pred_pred,4,3,No Leaf,720,4
5,clear_clear,5,3,No Leaf,720,5
5,clear_pred,4,3,No Leaf,720,4
5,pred_pred,5,3,No Leaf,720,4
6,clear_clear,7,3,No Leaf,720,5
6,clear_pred,5,3,No Leaf,720,5
6,pred_pred,6,3,No Leaf,720,6
7,clear_clear,8,3,No Leaf,720,5
7,clear_pred,9,3,No Leaf,720,5
7,pred_pred,8,3,No Leaf,720,8
8,clear_clear,10,3,No Leaf,720,6
8,clear_pred,5,3,No Leaf,720,3
8,pred_pred,6,3,No Leaf,720,5
